DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2000,86.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2001,81.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2002,80,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2003,81.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2004,83.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2005,86.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2006,87,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2007,83.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2008,85.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2009,84.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2010,84.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2011,84.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2012,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2013,84.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2014,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2015,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2016,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2017,83.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2018,84.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2000,82.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2001,85.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2002,78.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2003,79.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2004,83.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2005,83.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2006,89.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2007,92,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2008,89.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2009,88,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2010,89.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2011,90.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2012,89.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2013,89.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2014,90.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2015,90.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2016,89.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2017,92.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2018,95.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2005,81.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2006,51.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2007,97.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2008,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2009,67.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2010,81.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2011,98.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2012,94.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2013,88.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2014,70.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2015,78.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2016,80.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2017,79.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2018,63.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2004,42.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2005,12.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2006,38,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2007,39.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2008,59.9,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2009,78.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2010,83.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2011,88.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2012,88.9,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2013,97.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2014,96.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2015,96.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2016,99.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2017,93.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CY,2018,97.9,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2003,62.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2004,70.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2005,84,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2006,90.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2007,94.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2008,93.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2009,93.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2010,93.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2011,90.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2012,85.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2013,87.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2014,88.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2015,90.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2016,93.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2017,90.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,CZ,2018,85.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2000,90.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2001,91,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2002,87.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2003,80.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2004,82.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2005,82.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2006,80.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2007,80.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2008,87.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2009,91.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2010,90.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2011,88,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2012,87.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2013,88.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2014,87.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2015,85.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2016,88.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2017,87.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DE,2018,86.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2000,62,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2001,64.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2002,61.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2003,60.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2004,58.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2005,60,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2006,62.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2007,60.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2008,61,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2009,93.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2010,93.5,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2011,63.8,b
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2012,76.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2013,85.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2014,91.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2015,95.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2016,97.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2017,81.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,DK,2018,99.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2004,33.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2005,45.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2006,55.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2007,57,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2008,65.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2009,69.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2010,82.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2011,79.1,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2012,77.2,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2013,75.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2014,74.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2015,76.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2016,79,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2017,76.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EE,2018,86.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2000,67.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2001,67.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2002,68.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2003,70.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2004,69.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2005,72.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2006,70,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2007,79.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2008,73.6,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2009,83,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2010,94.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2011,91.9,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2012,83.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2013,79.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2014,79.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2015,89.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2016,98.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2017,99.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2018,91.5,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2000,58.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2001,63.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2002,59.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2003,57.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2004,63.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2005,69.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2006,71.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2007,70,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2008,73.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2009,76.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2010,76.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2011,76.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2012,77.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2013,75,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2014,78.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2015,76.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2016,79.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2017,74.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2018,72.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2005,73.2,s
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EU27_2020,2006,75.4,s
